refrigerant;sorbent;sorbent-subtype;type;EoS;p_crit;T_crit;omega;kappa_1;beta_0;beta_1;beta_2;beta_3;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in -;in Pa;in K;in -;in -;in -;in -;in -;in -;in K;in K;-;-
Methane;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.5992000000E+06;1.9056000000E+02;1.1420000000E-02;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.0429810000E+02;1.6197600000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Methanol;dum_sorb;dum_subtype;refrig;1.0000000000E+01;8.1035000000E+06;5.1260000000E+02;5.6250000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.0195150000E+02;4.3571000000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Neon;dum_sorb;dum_subtype;refrig;1.0000000000E+01;2.6616000000E+06;4.4400000000E+01;-3.5500000000E-02;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.8239400000E+01;3.7740000000E+01;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Nitrogen;dum_sorb;dum_subtype;refrig;1.0000000000E+01;3.3958000000E+06;1.2619000000E+02;3.7200000000E-02;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;7.2623650000E+01;1.0726150000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Oxygen;dum_sorb;dum_subtype;refrig;1.0000000000E+01;5.0430000000E+06;1.5458000000E+02;2.2200000000E-02;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;6.2515150000E+01;1.3139300000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Propane;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.2512000000E+06;3.6989000000E+02;1.5210000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;9.8353750000E+01;3.1440650000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Propylene;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.5550000000E+06;3.6421000000E+02;1.4600000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.0114595000E+02;3.0957850000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-12;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.1361000000E+06;3.8512000000E+02;1.7948000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3351500000E+02;3.2735200000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-123;dum_sorb;dum_subtype;refrig;1.0000000000E+01;3.6618000000E+06;4.5683000000E+02;2.8192000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.9090000000E+02;3.8830550000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-1234ze(E) ;dum_sorb;dum_subtype;refrig;1.0000000000E+01;3.6349000000E+06;3.8251000000E+02;3.1300000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.9435000000E+02;3.2513350000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-125;dum_sorb;dum_subtype;refrig;1.0000000000E+01;3.6177000000E+06;3.3917000000E+02;3.0520000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.9839800000E+02;2.8829450000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-134a;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.0593000000E+06;3.7421000000E+02;3.2684000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.9532750000E+02;3.1807850000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-142b;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.0550000000E+06;4.1026000000E+02;2.3210000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6412800000E+02;3.4872100000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-143a;dum_sorb;dum_subtype;refrig;1.0000000000E+01;3.7610000000E+06;3.4586000000E+02;2.6150000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.8554100000E+02;2.9398100000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-152a;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.5168000000E+06;3.8641000000E+02;2.7521000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.7774400000E+02;3.2844850000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-22;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.9900000000E+06;3.6930000000E+02;2.2082000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3308950000E+02;3.1390500000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-227ea ;dum_sorb;dum_subtype;refrig;1.0000000000E+01;2.9250000000E+06;3.7490000000E+02;3.5700000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6830250000E+02;3.1866500000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-23;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.8320000000E+06;2.9929000000E+02;2.6300000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3572300000E+02;2.5439650000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-32;dum_sorb;dum_subtype;refrig;1.0000000000E+01;5.7820000000E+06;3.5126000000E+02;2.7690000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.5679100000E+02;2.9857100000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Toluene;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.1263000000E+06;5.9175000000E+02;2.6570000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.0470000000E+02;5.0298750000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Water;dum_sorb;dum_subtype;refrig;1.0000000000E+01;2.2064000000E+07;6.4710000000E+02;3.4430000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;3.1413400000E+02;5.5003500000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
