refrigerant;sorbent;sorbent-subtype;type;M;p_crit;T_crit;rho_crit;p_trip;T_trip;omega;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in kg/mol;in Pa;in K;in kg/m3;in Pa;in Pa;in -;in K;in K;-;-
Helium;dum_sorb;dum_subtype;refrig;4.0026000000E-03;2.2832000000E+05;5.1953000000E+00;6.9580000000E+01;-1.0000000000E+00;2.1768000000E+00;-3.8360000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Isobutane;dum_sorb;dum_subtype;refrig;5.8122000000E-02;3.6290000000E+06;4.0781000000E+02;2.2550000000E+02;-1.0000000000E+00;1.1373000000E+02;1.8400000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Krypton;dum_sorb;dum_subtype;refrig;8.3798000000E-02;5.5250000000E+06;2.0948000000E+02;9.0921000000E+02;-1.0000000000E+00;1.1578000000E+02;-8.9400000000E-04;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Methane;dum_sorb;dum_subtype;refrig;1.6043000000E-02;4.5992000000E+06;1.9056000000E+02;1.6266000000E+02;-1.0000000000E+00;9.0694000000E+01;1.1420000000E-02;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Methanol;dum_sorb;dum_subtype;refrig;3.2042000000E-02;8.1035000000E+06;5.1260000000E+02;2.7556000000E+02;-1.0000000000E+00;1.7561000000E+02;5.6250000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Neon;dum_sorb;dum_subtype;refrig;2.0179000000E-02;2.6616000000E+06;4.4400000000E+01;4.8631000000E+02;-1.0000000000E+00;2.4556000000E+01;-3.5500000000E-02;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Nitrogen;dum_sorb;dum_subtype;refrig;2.8013000000E-02;3.3958000000E+06;1.2619000000E+02;3.1330000000E+02;-1.0000000000E+00;6.3151000000E+01;3.7200000000E-02;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Oxygen;dum_sorb;dum_subtype;refrig;3.1999000000E-02;5.0430000000E+06;1.5458000000E+02;4.3614000000E+02;-1.0000000000E+00;5.4361000000E+01;2.2200000000E-02;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Propane;dum_sorb;dum_subtype;refrig;4.4096000000E-02;4.2512000000E+06;3.6989000000E+02;2.2048000000E+02;-1.0000000000E+00;8.5525000000E+01;1.5210000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Propene;dum_sorb;dum_subtype;refrig;4.2080000000E-02;4.5550000000E+06;3.6421000000E+02;2.2963000000E+02;-1.0000000000E+00;8.7953000000E+01;1.4600000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-12;dum_sorb;dum_subtype;refrig;1.2091000000E-01;4.1361000000E+06;3.8512000000E+02;5.6500000000E+02;-1.0000000000E+00;1.1610000000E+02;1.7948000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-123;dum_sorb;dum_subtype;refrig;1.5293000000E-01;3.6618000000E+06;4.5683000000E+02;5.5000000000E+02;-1.0000000000E+00;1.6600000000E+02;2.8192000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-1234ze(E) ;dum_sorb;dum_subtype;refrig;1.1404000000E-01;3.6349000000E+06;3.8251000000E+02;4.8924000000E+02;-1.0000000000E+00;1.6900000000E+02;3.1300000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
