refrigerant;sorbent;sorbent-subtype;type;measurements-procedure;measurements-type;pressures;temperatures;loadings;uncertainty-data-source;uncertainty-pressure-abs;uncertainty-pressure-rel;uncertainty-temperature-abs;uncertainty-temperature-rel;uncertainty-loading-abs;uncertainty-loading-rel;comment;literature
-;-;-;-;-;-;in Pa;in K;in kg/kg or mol/mol;-;in Pa;in %;in K;in %;in kg/kg or mol/mol;in %;-;-
Ethanol;ionic liquid;[MMIM]+[(CH3)2PO4]-;abs;;isotherms_p;530,980,1440,2070,2700,4820,7550,11070,15970,22960,31980,35940,35930,35910,42460,46050,53300,58530,63370,63370,63370,72140,84680,94160,100090,103750,106090,107660,108240,108580,108740,108900,109080;353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15;0.034,0.066,0.097,0.135,0.172,0.272,0.367,0.455,0.539,0.618,0.685,0.709,0.709,0.709,0.739,0.757,0.783,0.804,0.818,0.818,0.818,0.849,0.889,0.922,0.947,0.965,0.979,0.99,0.994,0.997,0.998,0.999,1;table;;;;;;;;"Kato, Ryo; Gmehling, Jürgen (2005): Measurement and correlation of vapor–liquid equilibria of binary systems containing the ionic liquids [EMIM][(CF3SO2)2N], [BMIM][(CF3SO2)2N], [MMIM][(CH3)2PO4] and oxygenated organic compounds respectively water. In: Fluid Phase Equilibria 231 (1), S. 38–43. DOI: 10.1016/j.fluid.2005.01.002."
