refrigerant;sorbent;sorbent-subtype;type;prop-diameter-crystal;prop-diameter-pore;prop-diameter-pellet;prop-diameter-extrudate;prop-length-extrudate;prop-area-surface;prop-volume-pore;props-porosity-pellet;props-density-bulk;props-density-pellet;props-density-solid;measurements-procedure;measurements-type;pressures;temperatures;loadings;adsorptionPotentials;volumetricLoadings;uncertainty-data-source;uncertainty-pressure-abs;uncertainty-pressure-rel;uncertainty-temperature-abs;uncertainty-temperature-rel;uncertainty-loading-abs;uncertainty-loading-rel;uncertainty-adsorptionPotential-abs;uncertainty-adsorptionPotential-rel;uncertainty-volumetricLoading-abs;uncertainty-volumetricLoading-rel;comment;literature
-;-;-;-;in mm;in mm;in mm;in mm;in mm;in m2/g;in cm3/g;in -;in kg/m3;in kg/m3;in kg/m3;-;-;in Pa;in K;in kg/kg;in J/mol;in m3/kg;-;in Pa;in %;in K;in %;in kg/kg;in %;in J/mol;in %;in m3/kg;in %;-;-
Propylene;zeolite pellet;13X;ads;0.002;;0.79;1.5-1.9;4-7;;;0.39;630-680;1358;2234;gravimetric;isotherms;207.5,318.2,344.9,453.1,789.2,1625.5,3100.7,5874.3,14804.7,26095.1,36896.6,61022.6,84146.1,99880.1,575.3,1658.5,4204.9,8025.4,15779.1,32658.6,49669.9,63213.8,79782.7,90644.8,102906.9,339.9,720.4,1842.5,2832.1,5058.4,7042.1,10921.2,21238.4,32976.8,47856,61620.2,73823.2,90503.5,101191.8,401,921.6,1666.8,2417.8,3331.1,4531.4,5838.6,8260.3,10799.7,14576.9,17912.4,22537.4,27727.5,34150.4,41190,50304.4,63781.5,74461.5,84198.3,94104.4,101043.5,540.3,2244.7,3732,5829.7,8763.7,12710.2,17321.8,22897.6,27581.1,32601.3,39355.2,50469.2,63930.4,74777.8,85008.5,99887.7,767.5,4322,6492.3,9387.4,13178.6,16580.4,20873.8,25116.9,29749.5,35897.4,42035.8,49356.1,58466.7,66849.8,76855.1,85069,94910.8,103413.5;303,303,303,303,303,303,303,303,303,303,303,303,303,303,323,323,323,323,323,323,323,323,323,323,323,343,343,343,343,343,343,343,343,343,343,343,343,343,343,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473;0.020699445,0.00287068,0.034635834,0.062302421,0.08033864,0.0899749,0.095926238,0.100245302,0.105213657,0.108965487,0.110255652,0.112440011,0.113696091,0.114398823,0.042629301,0.066612649,0.080459829,0.087551528,0.092615825,0.098243148,0.100695135,0.102308051,0.103835125,0.104408251,0.104988951,0.017421433,0.028284739,0.046017983,0.058011971,0.069296074,0.074532898,0.08121474,0.088342627,0.092096981,0.09515197,0.097380514,0.098473324,0.100103493,0.101597745,0.007584873,0.013940597,0.02019533,0.025527674,0.031783248,0.03691361,0.042863686,0.049742461,0.055699689,0.060741684,0.064756933,0.068573986,0.071574271,0.074479457,0.077285334,0.079693136,0.083047312,0.085873388,0.087259915,0.088442356,0.089403457,0.003179545,0.008312432,0.01231674,0.017247223,0.022796699,0.027634607,0.033603618,0.03763107,0.041038266,0.044345313,0.048071895,0.053155128,0.059070697,0.06200071,0.065029189,0.068084178,0.002668276,0.00750408,0.009770495,0.012553228,0.015341432,0.017716833,0.020815164,0.022990687,0.02557817,0.027661959,0.0312825,0.033987385,0.037009973,0.039925678,0.043158244,0.046278036,0.0487923,0.050479277;;;figure;;;;;;;;;;;;"Da Silva, Francisco A.; Rodrigues, Alírio E. (1999): Adsorption Equilibria and Kinetics for Propylene and Propane over 13X and 4A Zeolite Pellets. In: Ind. Eng. Chem. Res. 38 (5), S. 2051–2057. DOI: 10.1021/ie980640z."
Propylene;zeolite pellet;13X;ads;0.001;0.0000005;;0.8;;;;0.395;;1357;;gravimetric;isotherms;349,836,4957,12793,25511,33967,38642,55210,66141,82709,106634,125333,151596,293,1390,2418,6265,15270,28675,35274,41324,51017,59817,78792,89448,103885,126434,149878,2283,5719,8673,16372,21596,27645,36170,42700,50194,67174,76524,90892,106705,130560,150497,2012,5585,9983,15138,22011,29367,39266,49577,59958,69445,80926,90069,103819,113581,125062,148711,113672.1,125224.1,149152.1;333,333,333,333,333,333,333,333,333,333,333,333,333,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393;0.035243,0.06018,0.081983,0.090997,0.096015,0.097762,0.098562,0.100675,0.101768,0.102428,0.103307,0.103749,0.104338,0.017084,0.035035,0.052985,0.069701,0.08075,0.087513,0.089477,0.091078,0.092607,0.094427,0.095595,0.096616,0.097637,0.098516,0.099396,0.036343,0.050007,0.058438,0.067815,0.072177,0.075885,0.08003,0.082067,0.083668,0.08658,0.088036,0.089203,0.09088,0.09234,0.092928,0.013669,0.028496,0.038889,0.046812,0.054663,0.060988,0.065642,0.069206,0.072261,0.075098,0.07641,0.077939,0.079469,0.080417,0.081438,0.083771,0.079727642,0.0804653,0.082711095;;;figure;50;;0.1;;;;;;;;;"Lamia, Nabil; Wolff, Luc; Leflaive, Philibert; Sá Gomes, Pedro; Grande, Carlos A.; Rodrigues, Alírio E. (2007): Propane/Propylene Separation by Simulated Moving Bed I. Adsorption of Propane, Propylene and Isobutane in Pellets of 13X Zeolite. In: Separation Science and Technology 42 (12), S. 2539–2566. DOI: 10.1080/01496390701515219."
Propylene;zeolite pellet;4A;ads;0.0034;;1.6;3.2;8-12;;;0.34;>700;1700;2590;gravimetric;isotherms;120.2,259.8,746.1,1661.1,4391.1,9217,17422.2,30170.8,62831.3,80064.6,102246.1,573.3,1143.8,2009.8,2757.6,3975,6820.3,13449.3,27453,48644.6,59938.8,73501.4,84562.3,104764.2,4530.3,9175.7,18128.8,34761.2,52802.3,65198.1,80508.8,104783.2,3254.5,6160.1,13427.5,25409.4,40886.9,57938.4,68123,82265.7,94721.8,104966.3,1628,6454.6,12971.1,25830.2,46604.7,61910.9,77100.6,90545.2,105270.1;303,303,303,303,303,303,303,303,303,303,303,343,343,343,343,343,343,343,343,343,343,343,343,343,383,383,383,383,383,383,383,383,423,423,423,423,423,423,423,423,423,423,473,473,473,473,473,473,473,473,473;0.039375696,0.02266499,0.049887636,0.061857639,0.066594976,0.071452661,0.074666711,0.076419333,0.078764437,0.079541229,0.080921865,0.006440725,0.014947144,0.020293796,0.026856132,0.030683284,0.036210879,0.042403754,0.062870919,0.064374007,0.065276617,0.067879249,0.069147112,0.070468416,0.008078468,0.017128558,0.026844349,0.041111485,0.047174334,0.051479092,0.053107998,0.056735693,0.004372506,0.008441617,0.016092555,0.024954969,0.03229578,0.03823786,0.041572258,0.045693548,0.048539822,0.050658957,0.001639427,0.005950075,0.009286999,0.01541465,0.023723716,0.028634001,0.033544286,0.037301586,0.04148347;;;figure;;;;;;;;;;;;"Da Silva, Francisco A.; Rodrigues, Alírio E. (1999): Adsorption Equilibria and Kinetics for Propylene and Propane over 13X and 4A Zeolite Pellets. In: Ind. Eng. Chem. Res. 38 (5), S. 2051–2057. DOI: 10.1021/ie980640z."
Propylene;zeolite crystal;5A;ads;0.001;0.00005;1.65-2.5;;;;;0.35;;1130;1740;gravimetric;isotherms;2603,5314.5,10141,15780.9,25325.4,32483.7,41269,51030.4,61388.3,75596.5,86279.8,98047.7,2440.3,5097.6,10086.8,15401.3,19739.7,25379.6,31290.7,38015.2,47288.5,58514.1,70824.3,86388.3,99132.3,2440.3,4826.5,9815.6,14316.7,21908.9,29067.2,37093.3,45227.8,54338.4,65835.1,72125.8,79718,90455.5,2603,4934.9,9978.3,14696.3,19739.7,25705,33026,42190.9,52765.7,59869.8,72939.3,82321,89479.4;323,323,323,323,323,323,323,323,323,323,323,323,343,343,343,343,343,343,343,343,343,343,343,343,343,373,373,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423;0.098660579,0.107849111,0.11550047,0.121752257,0.126897347,0.131044726,0.134125384,0.137419386,0.140241674,0.143805407,0.14708384,0.149766003,0.077883287,0.090766841,0.102109855,0.108482411,0.112448006,0.116852913,0.120098103,0.123329827,0.126632666,0.130132438,0.133497975,0.136807126,0.139357158,0.059296666,0.073108499,0.085028427,0.091877325,0.097056079,0.101434476,0.106028742,0.11004399,0.113465073,0.117191234,0.117428564,0.12052942,0.123575993,0.027199923,0.036510486,0.052932105,0.060585147,0.067424367,0.074709633,0.079085084,0.085506873,0.090056956,0.093974579,0.098597039,0.101666756,0.104775607;;;figure;40;;;;;;;;;;;"Grande, Carlos A.; Gigola, Carlos; Rodrigues, Alírio E. (2002): Adsorption of Propane and Propylene in Pellets and Crystals of 5A Zeolite. In: Ind. Eng. Chem. Res. 41 (1), S. 85–92. DOI: 10.1021/ie010494o."
Propylene;zeolite pellet;5A;ads;0.0011;0.00005;1.65-2.5;;;;;0.35;;1130;1740;gravimetric;isotherms;2025.1,5001.9,7230.1,9951.8,14255.6,19704.6,25592,34808.3,41515.9,58153.3,77030.6,88762,98200.5,2656.3,5414.5,9435.8,14609,21641.6,30201.7,39855.4,51254.4,63638.6,80769.4,99973.3,2326.4,4543.9,8777.5,12638.1,16446.9,24018.9,32465.8,39608.3,50405.3,56185.4,63167.2,71021.8,78549.4,87606.4,99498.5,2116.1,5740.1,10135.2,14980.4,19610.2,25494.7,33396.7,40921.1,48447.2,58098.8,65627.6,75227.6,87008.2,98299.9;323,323,323,323,323,323,323,323,323,323,323,323,323,343,343,343,343,343,343,343,343,343,343,343,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423,423;0.068384627,0.076539681,0.0796843,0.082111459,0.084820553,0.087884379,0.090373816,0.093140138,0.095197837,0.098730852,0.101684429,0.10308316,0.104631694,0.058500096,0.066727527,0.072516858,0.076512329,0.079356919,0.082483023,0.085033476,0.088008514,0.090121758,0.093008429,0.096247727,0.041743523,0.048325636,0.056047689,0.06083468,0.064762403,0.069682366,0.074097793,0.076727356,0.080205247,0.0821224,0.083749203,0.085588929,0.087214469,0.088549238,0.090949888,0.021620991,0.032281052,0.040718881,0.044858265,0.048067687,0.051488349,0.055619317,0.058318732,0.060445863,0.063640557,0.064907999,0.06717231,0.070289577,0.072691909;;;figure;40;;;;;;;;;;;"Grande, Carlos A.; Gigola, Carlos; Rodrigues, Alírio E. (2002): Adsorption of Propane and Propylene in Pellets and Crystals of 5A Zeolite. In: Ind. Eng. Chem. Res. 41 (1), S. 85–92. DOI: 10.1021/ie010494o."
Propylene;carbon molecular sieve;4A;ads;;0.0003;1.1;;2.3-5;;0.31;0.315;;900;;volumetric;isotherms;540,4499,12238,35093,82424,123275,166287,1260,3059,4859,5759,9178,15837,26995,29694,35093,38332,40132,75945,98260,103839,133353,143611,184643,244751,3239,15657,44811,76845,127774,205339,282903;343,343,343,343,343,343,343,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423;0.02547255,0.03564701,0.043799118,0.052217591,0.057934544,0.060418932,0.062296109,0.014757786,0.019609159,0.024191222,0.025740598,0.028974426,0.03550983,0.039348344,0.039347502,0.041974541,0.042108775,0.043927461,0.049243395,0.050046697,0.050854207,0.053004061,0.053069285,0.055081538,0.056415887,0.012668106,0.022773555,0.031257672,0.036574027,0.041145149,0.044901187,0.046905445;;;figure;500;;0.5;;;;;;;;;"Grande, Carlos A.; Silva, Viviana M.T.M.; Gigola, Carlos; Rodrigues, Alı́rio E. (2003): Adsorption of propane and propylene onto carbon molecular sieve. In: Carbon 41 (13), S. 2533–2545. DOI: 10.1016/S0008-6223(03)00304-X."
Propylene;mof powder;cubtc;ads;0.0016;;;;;1500-2100;;;350;;;gravimetric;isotherms;75.7,1118.7,2714.7,5205,9274.4,13959.9,18505.5,25734.2,34063.5,39983.2,52027.9,63865.9,75910.4,88023.5,99104.1,553.8,2557,4699.7,8081.5,12700.9,17524.2,23723.2,33363.4,39904.1,50918.5,59798,70397.9,80309.2,90495.4,98961,415.9,3174.2,6898.1,12688.2,19164.2,27911,35485,41199.9,47602.6,53798.3,59994.1,69837.5,79749.8,90212.3,99297.6,1790.8,5234,9640.4,14667.2,19693.6,26784.7,35184.9,40141.9,49711.4,59624.5,70914.9,80138.8,92185.1,98999.7;323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423,423;0.033632653,0.085601553,0.149795879,0.211841614,0.254915699,0.282085324,0.297942653,0.309189726,0.317368765,0.321900753,0.325153517,0.327185127,0.329215054,0.33063272,0.330530887,0.015894359,0.051343595,0.096575949,0.143019779,0.18303172,0.211117001,0.234909307,0.259281051,0.271757273,0.284498177,0.291143409,0.296549393,0.300739273,0.302480533,0.304237362,0.014366865,0.040636405,0.077293329,0.121268761,0.153314166,0.184115274,0.200862169,0.213651464,0.224294272,0.232187169,0.240385985,0.248856637,0.257326868,0.264263292,0.267543408,0.007015955,0.017074275,0.025289503,0.038696529,0.049963379,0.061211294,0.079785291,0.087995469,0.103195513,0.115946516,0.132659326,0.14021853,0.1511155,0.15655641;;;figure;50;;0.1;;;;;;;;;"Lamia, Nabil; Jorge, Miguel; Granato, Miguel A.; Almeida Paz, Filipe A.; Chevreau, Hubert; Rodrigues, Alírio E. (2009): Adsorption of propane, propylene and isobutane on a metal–organic framework. Molecular simulation and experiment. In: Chemical Engineering Science 64 (14), S. 3246–3259. DOI: 10.1016/j.ces.2009.04.010."
Propylene;zeolite pellet;4A;ads;;;;;;;;;;;;volumetric;isotherms;0,1340,6840,16670,24100,34800,51280,112210,231380,236870,446030,0,2560,4150,7450,4880,9520,13190,20270,21120,29670,33210,51160,64500,66340,73020,102690,148000,230400,258490,364220,461900,0,5490,6350,10990,14770,28500,30650,43350,44200,65320,66910,98900,115000,142490,194020,251530,335900,417700,471430;373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473;0,0.01460167,0.035851938,0.048728339,0.053819987,0.057523005,0.061268101,0.070399405,0.077847519,0.078057918,0.081760935,0,0.007490194,0.012371444,0.017968049,0.01451751,0.019314601,0.024027532,0.029624137,0.030129094,0.037114331,0.039470796,0.043931249,0.05020113,0.049654093,0.049527854,0.055124459,0.059584912,0.066023112,0.068800375,0.07275587,0.076753446,0,0.005133728,0.00648028,0.009467942,0.011908566,0.018430926,0.020871551,0.025752801,0.026804794,0.033453393,0.031475646,0.040733188,0.041069826,0.044436205,0.049864492,0.054535343,0.05992155,0.064255763,0.066696388;;;table;40;;;;;;;;;;;"Grande, Carlos A.; Gigola, Carlos; Rodrigues, Alírio E. (2003): Propane–propylene binary adsorption on zeolite 4A. In: Adsorption 9 (4), S. 321–329. DOI: 10.1023/A:1026223914143."
