refrigerant;sorbent;sorbent-subtype;type;prop-diameter-crystal;prop-diameter-pore;prop-diameter-pellet;prop-diameter-extrudate;prop-length-extrudate;prop-area-surface;prop-volume-pore;props-porosity-pellet;props-density-bulk;props-density-pellet;props-density-solid;measurements-procedure;measurements-type;pressures;temperatures;loadings;adsorptionPotentials;volumetricLoadings;uncertainty-data-source;uncertainty-pressure-abs;uncertainty-pressure-rel;uncertainty-temperature-abs;uncertainty-temperature-rel;uncertainty-loading-abs;uncertainty-loading-rel;uncertainty-adsorptionPotential-abs;uncertainty-adsorptionPotential-rel;uncertainty-volumetricLoading-abs;uncertainty-volumetricLoading-rel;comment;literature
-;-;-;-;in mm;in mm;in mm;in mm;in mm;in m2/g;in cm3/g;in -;in kg/m3;in kg/m3;in kg/m3;-;-;in Pa;in K;in kg/kg;in J/mol;in m3/kg;-;in Pa;in %;in K;in %;in kg/kg;in %;in J/mol;in %;in m3/kg;in %;-;-
Isobutane;zeolite pellet;13X;ads;0.001;0.0000005;;0.8;;;;0.395;;1357;;gravimetric;isotherms;81.1,1638.9,7093.2,17428.5,27648.8,35487.9,46695.5,56451.5,67078.5,79157.4,92804.3,100585.8,110458,124975.9,134731.9,147275.4,486.3,1758.4,6748.4,12844.5,20334.5,29625.1,41006.7,50704.8,61447.7,76662.5,90541.7,103433.6,112957.3,128346.5,139089.9,149600.7,2808,5475.8,9015.6,13021.1,22136.8,26143.2,35782.4,41357.1,59358.6,70624.4,75270,82877.6,89033,98092.3,109648.6,122250.3,137290.9,149834.4,1131.6,2754.5,4029.2,6639.7,11108.4,16797.9,23533.2,31430,42462.9,52741,65923,77536.9,89499.5,105817.6,115341.4,126491,142054.3,152100.7;333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393;0.030922,0.069141,0.086312,0.092368,0.094383,0.096905,0.098247,0.099168,0.09992,0.100588,0.101255,0.102177,0.102677,0.103343,0.104096,0.104764,0.03572,0.056429,0.07259,0.078227,0.083359,0.087143,0.089578,0.089489,0.091505,0.092423,0.092921,0.093673,0.094173,0.094502,0.094497,0.095502,0.040433,0.053901,0.063497,0.069219,0.075865,0.077968,0.081331,0.082254,0.085697,0.086954,0.087541,0.087201,0.088292,0.088456,0.088955,0.089202,0.089784,0.090283,0.011306,0.023007,0.034119,0.044388,0.05533,0.061304,0.065847,0.069715,0.073162,0.075682,0.077696,0.079627,0.081136,0.082222,0.082555,0.083559,0.084394,0.084641;;;figure;50;;0.1;;;;;;;;;"Lamia, Nabil; Wolff, Luc; Leflaive, Philibert; Sá Gomes, Pedro; Grande, Carlos A.; Rodrigues, Alírio E. (2007): Propane/Propylene Separation by Simulated Moving Bed I. Adsorption of Propane, Propylene and Isobutane in Pellets of 13X Zeolite. In: Separation Science and Technology 42 (12), S. 2539–2566. DOI: 10.1080/01496390701515219."
Isobutane;mof powder;cubtc;ads;0.0016;;;;;1500-2100;;;350;;;gravimetric;isotherms;581.5,1222.4,1725.2,2438.2,6273.5,11839.7,22116.5,34317.5,47247.9,59316.9,72447,82261.7,98707.7,990.6,2240.7,4209,5119.4,7022.5,12314.1,20666.2,28886.8,40026.2,53288,67678,82532.5,99177,1914.6,4026.1,5541.8,7317,11339.5,15573.7,23060.5,32539.6,40031.9,52232,64698.4,82469.7,98451.3,3312.5,5895.9,8214.5,10201.9,14506.4,19606.4,25631.3,33909.3,44905.3,57629,70289.9,83350.2,98269.1;323,323,323,323,323,323,323,323,323,323,323,323,323,343,343,343,343,343,343,343,343,343,343,343,343,343,373,373,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423;0.053637786,0.13151568,0.228869004,0.28647813,0.324552542,0.338748352,0.344902678,0.3470444,0.349172174,0.348932138,0.348671179,0.347284436,0.345765179,0.014287058,0.048835911,0.122713406,0.18588229,0.255787282,0.302972586,0.314729099,0.322513692,0.32666346,0.32957934,0.32929339,0.327806099,0.327872937,0.02976732,0.066683401,0.100034982,0.153251397,0.232652035,0.267142187,0.290042629,0.302968517,0.306793394,0.311717321,0.313456852,0.315488146,0.314772689,0.011061398,0.020945286,0.02924424,0.035960588,0.056540298,0.077898817,0.111557853,0.150736545,0.192642227,0.221797544,0.239031286,0.250693646,0.256358602;;;figure;50;;0.1;;;;;;;;;"Lamia, Nabil; Jorge, Miguel; Granato, Miguel A.; Almeida Paz, Filipe A.; Chevreau, Hubert; Rodrigues, Alírio E. (2009): Adsorption of propane, propylene and isobutane on a metal–organic framework. Molecular simulation and experiment. In: Chemical Engineering Science 64 (14), S. 3246–3259. DOI: 10.1016/j.ces.2009.04.010."
