refrigerant;sorbent;sorbent-subtype;type;Y0;alpha;K0;dH;literature
CO2;Carbon;ACF-20;ads;1220;0;2.21E-04;19.41;Saha, B. B., Jribi, S., Koyama, S., & El-Sharkawy, I. I. (2011). Carbon dioxide adsorption isotherms on activated carbons. Journal of Chemical & Engineering Data,56(5), 1974-1981.
CO2;Carbon;Maxsorb-III;ads;2210;0;1.06E-04;20.56;Saha, B. B., Jribi, S., Koyama, S., & El-Sharkawy, I. I. (2011). Carbon dioxide adsorption isotherms on activated carbons.Journal of Chemical & Engineering Data,56(5), 1974-1981.
