Refrigerant,Adsorbent,adsorbent-subtype,a0,a1,a2,a3,b0,b1,b2,b3,n,m,r,q,C,D,E,literature
water,LiBr,,-2.00755,0.16976,-0.003133362,1.98E-05,321.128,-19.322,0.37438,-0.0020637,1.8,32,0.145,459.72,6.21147,-2886.373,-337269.46,"Handbook, A.F., American society of heating, refrigerating and air-conditioning engineers. Inc.: Atlanta, GA, USA, 2009."
water,NaOH-KOH-CsOH,,6.164233723,-0.274666503,0.004916024,-2.86E-05,-53.80343163,5.004848451,-0.122827303,0.001096142,1,0,1,273.15,6.427154896,-1208.919437,-166159.963,"Herold, K.E., et al., Development of an absorption heat pump water heater using an aqueous ternary hydroxide working fluid. International journal of refrigeration, 1991. 14(3): p. 156-167."
