refrigerant;sorbent;sorbent-subtype;type;prop-diameter-crystal;prop-diameter-pore;prop-diameter-pellet;prop-diameter-extrudate;prop-length-extrudate;prop-area-surface;prop-volume-pore;props-porosity-pellet;props-density-bulk;props-density-pellet;props-density-solid;measurements-procedure;measurements-type;pressures;temperatures;loadings;adsorptionPotentials;volumetricLoadings;uncertainty-pressure-abs;uncertainty-pressure-rel;uncertainty-temperature-abs;uncertainty-temperature-rel;uncertainty-loading-abs;uncertainty-loading-rel;uncertainty-adsorptionPotential-abs;uncertainty-adsorptionPotential-rel;uncertainty-volumetricLoading-abs;uncertainty-volumetricLoading-rel;literature
-;-;-;-;in mm;in mm;in mm;in mm;in mm;in m2/g;in cm3/g;in -;in kg/m3;in kg/m3;in kg/m3;-;-;in Pa;in K;in kg/kg;in J/mol;in m3/kg;in Pa;in %;in K;in %;in kg/kg;in %;in J/mol;in %;in m3/kg;in %;-
propane;zeolite;13x;ads;0.002;;0.79;1.5-1.9;04. Jul;;;0.39;630-680;1358;2234;gravimetric;isotherms;444.1,448.3,1055.8,1940.6,3120.8,4430.9,6200.6,8870.4,12667.7,17697.6,24077.4,31526.5,39592.3,48062.1,59652.4,71367.3,84762.8,95412,104549.7,95412,104549.7,1079.6,1831.2,3301.5,4657.5,6526.8,9575.4,13361.6,16709.5,21519.1,27784.6,36519.2,45871.4,57467.9,70636.9,80552.9,91315.1,103532.3,103532.3,2098.5,3260.8,4971.3,7626.1,11290.4,15577.7,20096.3,24787.1,30940,39613.7,48128,57198.1,65933.1,78483.2,92039.3,103644.3,103644.3,1674.8,4739.3,8474.4,12322.9,16282.7,20694.5,26784.7,33719,41266.9,49659.7,58558.5,67012.8,77820.9,88128.3,93843,104206.1,93843,104206.1,3634.5,6209.9,8612.2,14488,23498,33854,44825.8,56803.3,70519.7,81606.3,92473.5,102219.9,102219.9,1621,10577.2,18418.7,30631.5,44694.5,60830.5,71581.2,82226.8,92310.9,102507.2,102507.2;303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423,473,473,473,473,473,473,473,473,473,473,473;0.001047304,0.0132926,0.028678925,0.044798583,0.057360055,0.065735398,0.071494907,0.076523729,0.080089412,0.083866761,0.086600334,0.088393759,0.090188066,0.08926247,0.092842706,0.093493136,0.094460625,0.09521336,0.095440019,0.09521336,0.095440019,0.009840246,0.017691275,0.027950883,0.038733482,0.047423678,0.055697598,0.061879997,0.065653818,0.068488815,0.071745378,0.074483361,0.077012765,0.079128098,0.080618576,0.082416411,0.082960127,0.084134871,0.084134871,0.007539705,0.011100097,0.017592498,0.026179507,0.034664211,0.041684453,0.047030773,0.051435623,0.054796255,0.05868517,0.060480799,0.063428684,0.066061716,0.068073862,0.070821105,0.070947663,0.070947663,0.001677891,0.006184163,0.011214749,0.015931805,0.020858322,0.02494876,0.029879245,0.034079044,0.039012175,0.043005158,0.046685494,0.049422595,0.052373566,0.054381743,0.055334679,0.057447808,0.055334679,0.057447808,0.00230936,0.003151613,0.005144797,0.007772537,0.011661893,0.015449384,0.019447659,0.024284659,0.028915726,0.03228606,0.03450458,0.036616385,0.036616385,0.001154459,0.004520383,0.00631469,0.008535856,0.01076055,0.013303183,0.016568125,0.018158263,0.019956538,0.021755255,0.021755255;;;;;;;;;;;;;Da Silva, F.A. and A.E. Rodrigues, Adsorption equilibria and kinetics for propylene and propane over 13X and 4A zeolite pellets. Industrial & engineering chemistry research, 1999. 38(5): p. 2051-2057.
propane;zeolite;13x;ads;0.001;0.0000005;;0.8;;;;0.395;;1357;;gravimetric;isotherms;367.8,2023,4413.8,6988.5,10206.9,15264.4,22344.8,28597.7,38436.8,50114.9,65563.2,75954,87632.2,101425.3,124321.8,154298.9,1471.3,2666.7,4689.7,6712.6,10390.8,17839.1,26942.5,38344.8,50942.5,61701.1,73011.5,83218.4,92597.7,101793.1,127540.2,150344.8,3402.3,6436.8,9563.2,12229.9,18574.7,21057.5,28597.7,36597.7,43954,50850.6,72183.9,84781.6,99770.1,132505.7,151724.1,1747.1,4873.6,8919.5,11678.2,15632.2,20689.7,27678.2,36413.8,42850.6,59678.2,76689.7,95080.5,125701.1,151264.4;333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,393,393,393,393,393,393,393,393,393,393,393,393,393,393;0.010981917,0.029184718,0.042812013,0.053490102,0.062948908,0.070070133,0.076683801,0.080348703,0.083913945,0.08666648,0.09023525,0.090750303,0.092384979,0.093512098,0.095357117,0.096698106,0.005288553,0.01291557,0.018509275,0.02603531,0.037121296,0.05105683,0.060925738,0.06744107,0.072329663,0.075183621,0.077123007,0.078959647,0.080287408,0.08110673,0.083767102,0.08561168,0.010068668,0.015968406,0.024715487,0.029597906,0.036516285,0.040178541,0.047809526,0.053000625,0.05615753,0.058805554,0.065530347,0.068080476,0.070530506,0.07492389,0.076054537,0.002644938,0.006714209,0.011190937,0.014243331,0.018313043,0.023400514,0.029099169,0.034697283,0.039277198,0.044067014,0.049568997,0.053139531,0.058751756,0.061106536;;;50;;0.1;;;;;;;;Lamia, N., et al., Propane/Propylene Separation by Simulated Moving Bed I. Adsorption of Propane, Propylene and Isobutane in Pellets of 13X Zeolite. Separation Science and Technology, 2007. 42(12): p. 2539-2566.
propane;zeolite;5a crystal;ads;0.001;0.00005;1.65-2.5;;;;;0.35;;1130;1740;gravimetric;isotherms;2658.9,5682.8,10991.2,15962,24196.7,33304.7,43554,52605.4,63015.1,74516,87107.3,99315.8,2511.2,5759.9,10467.2,15545.4,21003.7,26949.4,34694.2,41892,48707.8,58082.3,67349.5,78144.8,88283.4,97985.8,2475.3,5331.8,10203.6,15067.8,20037.3,25222.3,32094.3,39242.1,50526.5,62574.7,76750.9,86617.5,90651.7,99591.1,2804.5,5435.9,11504.8,17949,25970.2,34861.4,42063.6,49863.7,61152.2,74077.1,80782.4,84215.2,90048.5,99151.8;323,323,323,323,323,323,323,323,323,323,323,323,343,343,343,343,343,343,343,343,343,343,343,343,343,343,373,373,373,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423,423;0.0709825,0.084044031,0.095735028,0.102375595,0.107143363,0.112736185,0.117222173,0.12185324,0.124890641,0.128869514,0.133307436,0.137030546,0.053045604,0.069353557,0.080093381,0.086009435,0.091436452,0.095528654,0.100426949,0.104252804,0.107725443,0.110664067,0.114327205,0.119404093,0.123049151,0.1264627,0.036430737,0.047690024,0.0589083,0.066634536,0.07267362,0.07762439,0.0819384,0.08781212,0.092397326,0.097568581,0.104502834,0.10827401,0.109997321,0.113185534,0.012344073,0.020236554,0.030948598,0.038883412,0.045702572,0.051781343,0.057654182,0.062912308,0.069424112,0.076985425,0.079737959,0.080390154,0.082919558,0.086345013;;;40;;;;;;;;;;Grande, C.A., C. Gigola, and A.E. Rodrigues, Adsorption of propane and propylene in pellets and crystals of 5A zeolite. Industrial & engineering chemistry research, 2002. 41(1): p. 85-92.
propane;zeolite;5a pellets;ads;0.0011;0.00005;1.65-2.5;;;;;0.35;;1130;1740;gravimetric;isotherms;2479.9,4943.5,9773.2,15043.8,20262.4,25097.4,29877.5,36087,44055.6,51365.3,60598.4,80439.6,99897.9,2548.1,5506.4,10608.1,15111.4,20110.2,26977.6,33460.4,41647.1,51649.7,61816.6,76490.8,97816.4,2344.7,4755.5,9199.9,15183.9,20016.8,26882.2,34517.8,44408.3,53255.1,61552.5,74523,88373.8,93814.3,97661.9,2413.4,5267.6,10264.6,14382.6,19875.8,21413.9,29600.4,37787.5,46633.9,56580.3,65373.1,75100.9,81750.2,85322.2,89829.1,99172;323,323,323,323,323,323,323,323,323,323,323,323,323,343,343,343,343,343,343,343,343,343,343,343,343,373,373,373,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423;0.049050416,0.05942203,0.067598937,0.074569791,0.078680954,0.081515068,0.084198812,0.086950465,0.089767822,0.091836412,0.09457219,0.099434325,0.102417046,0.035805882,0.046250257,0.057210125,0.061927181,0.065888855,0.070443194,0.074698554,0.079320802,0.082202982,0.085761169,0.089973314,0.094827512,0.019251868,0.027441563,0.036071787,0.044317926,0.049258995,0.055844882,0.061824876,0.066814451,0.071057465,0.075001941,0.078620982,0.081633248,0.08371154,0.084368585,0.005555781,0.01005588,0.015823767,0.020994582,0.025330199,0.026526109,0.031298728,0.035620234,0.040163989,0.044325863,0.047590364,0.050398902,0.053147909,0.054559013,0.055588678,0.058549351;;;40;;;;;;;;;;Grande, C.A., C. Gigola, and A.E. Rodrigues, Adsorption of propane and propylene in pellets and crystals of 5A zeolite. Industrial & engineering chemistry research, 2002. 41(1): p. 85-92.
propane;carbon;molecularsieve;ads;;0.0003;1.1;;02.03.2005;;0.31;0.315;;900;;volumetric;isotherms;2205,9599,25256,46120,64104,91076,132783,153097,165142,221945,262929,4710,25593,28831,42325,72712,113168,127188,163862,186510,237924,258236,8478,10637,16397,33304,37618,42659,82756,87791,109721,147841,180201,218129,237904,291114;343,343,343,343,343,343,343,343,343,343,343,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423,423;0.018660527,0.028465054,0.035696522,0.041108546,0.044634542,0.048478037,0.050506058,0.051582466,0.052404434,0.053307981,0.053701768,0.014389292,0.027152287,0.02784461,0.032939136,0.036910071,0.041702092,0.041582148,0.043859317,0.04342893,0.04583795,0.045909387,0.011563997,0.012695526,0.015525231,0.019867462,0.019994903,0.022949843,0.028055834,0.02906301,0.029386241,0.034428733,0.036452344,0.037096601,0.038236068,0.039640557;;;500;;0.5;;;;;;;;Grande, C.A., et al., Adsorption of propane and propylene onto carbon molecular sieve. Carbon, 2003. 41(13): p. 2533-2545.
propane;mof;cubtc;ads;0.0016;;;;;1500-2100;;;350;;;gravimetric;isotherms;1095.9,3424.7,6095.9,8835.6,12602.7,17876.7,24794.5,33904.1,40958.9,49931.5,60000,69657.5,80890.4,89794.5,99589,1712.3,3493.2,5753.4,8287.7,10137,13082.2,18356.2,31575.3,39589,45684.9,55205.5,65068.5,78219.2,87123.3,99931.5,3698.6,9109.6,16095.9,24589,32328.8,39657.5,49178.1,60821.9,70205.5,80753.4,90068.5,98767.1,1849.3,5274,9109.6,20684.9,28904.1,34109.6,40137,49931.5,58972.6,70068.5,80890.4,90958.9,99794.5;323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,373,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423;0.023563673,0.047417945,0.075300919,0.114662342,0.174796098,0.224978043,0.250933538,0.265684866,0.2748835,0.280329039,0.286378265,0.290261888,0.294121257,0.296465454,0.299726427,0.013625091,0.026939298,0.044279121,0.060994529,0.075548303,0.095049761,0.13344105,0.197151513,0.213781815,0.225477662,0.236809709,0.242552021,0.250414957,0.254000043,0.254732053,0.016697329,0.032747314,0.057770598,0.083701398,0.109954106,0.132179876,0.158094801,0.179012653,0.190657348,0.202904408,0.208655098,0.215345936,0.001212227,0.004261975,0.007925554,0.016744072,0.024993739,0.030497926,0.035678883,0.043904296,0.052141175,0.064379856,0.072588954,0.079879511,0.089981251;;;50;;0.1;;;;;;;;Lamia, N., et al., Adsorption of propane, propylene and isobutane on a metal-organic framework: Molecular simulation and experiment. Chemical Engineering Science, 2009. 64(14): p. 3246-3259.
propane;zeolite;4a;ads;;;;;;;;;;;;volumetric;isotherms;0,14410,50310,114410,219060,366390,0,27250,89500,126370,220770,367890;423,423,423,423,423,423,473,473,473,473,473,473;0,0.003748245,0.013317294,0.025399872,0.036776898,0.04762476,0,0.005468028,0.01455201,0.020505105,0.027737013,0.037129674;;;40;;;;;;;;;;Grande, C. A., et al. (2003). Propane-Propylene Binary Adsorption on Zeolite 4A. Adsorption, 9, pp. 321-329.
