refrigerant;sorbent;sorbent-subtype;type;prop-diameter-crystal;prop-diameter-pore;prop-diameter-pellet;prop-diameter-extrudate;prop-length-extrudate;prop-area-surface;prop-volume-pore;props-porosity-pellet;props-density-bulk;props-density-pellet;props-density-solid;measurements-procedure;measurements-type;pressures;temperatures;loadings;adsorptionPotentials;volumetricLoadings;uncertainty-pressure-abs;uncertainty-pressure-rel;uncertainty-temperature-abs;uncertainty-temperature-rel;uncertainty-loading-abs;uncertainty-loading-rel;uncertainty-adsorptionPotential-abs;uncertainty-adsorptionPotential-rel;uncertainty-volumetricLoading-abs;uncertainty-volumetricLoading-rel;literature
-;-;-;-;in mm;in mm;in mm;in mm;in mm;in m2/g;in cm3/g;in -;in kg/m3;in kg/m3;in kg/m3;-;-;in Pa;in K;in kg/kg;in J/mol;in m3/kg;in Pa;in %;in K;in %;in kg/kg;in %;in J/mol;in %;in m3/kg;in %;-
isobutane;zeolite;13x;ads;0.001;0.0000005;;0.8;;;;0.395;;1357;;gravimetric;isotherms;580.6,1975.2,7744.6,17961.6,27910.4,36108.3,47257.8,57117.2,67531.1,79602.5,93057.8,100983.7,110934.8,125127.4,135172.3,147705.9,1122.3,2184.2,7587.4,13290.6,20654,30047.2,41655.5,50962.5,61466.3,77316.5,91047.4,103764.5,113163.1,128554.5,139430,150027.3,171.9,3049.3,5786.3,9452.2,13402.6,22605,26472.8,36235.3,42130.2,59266.2,70691.3,76036.3,83224.9,89122.4,98430.5,109950.4,122668.3,138058.8,150500.6,1452,2626.7,4168,6912.1,11495.4,17105.6,24100.6,32111.1,42518.7,52559.9,66288.6,78080.9,89506.3,106371.5,115770.1,126551.7,142586.5,152632;333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393;0.030511256,0.068383992,0.085928095,0.092242833,0.094676899,0.096972058,0.098204202,0.099299764,0.099727527,0.10082832,0.101263057,0.101417075,0.102779989,0.103217052,0.103777328,0.104210322,0.035865271,0.056742556,0.073081832,0.078314956,0.083016864,0.086653433,0.088823634,0.089649519,0.091147852,0.092257944,0.093095454,0.093930057,0.095024456,0.095197073,0.095224389,0.096053762,0.005888137,0.039884269,0.053138535,0.062916644,0.068947756,0.075661778,0.077143257,0.080513055,0.082267698,0.085522418,0.087156752,0.087437472,0.087589746,0.088139561,0.088430742,0.08886083,0.089294406,0.08986805,0.090166787,0.01070861,0.021818248,0.033865362,0.043774822,0.055561558,0.061196292,0.065763361,0.069530118,0.07290166,0.075201468,0.077109548,0.079414006,0.080914664,0.081492377,0.082586195,0.083416149,0.084393146,0.084686071;;;50;;0.1;;;;;;;;Lamia, N., et al., Propane/Propylene Separation by Simulated Moving Bed I. Adsorption of Propane, Propylene and Isobutane in Pellets of 13X Zeolite. Separation Science and Technology, 2007. 42(12): p. 2539-2566.
isobutane;mof;cubtc;ads;0.0016;;;;;1500-2100;;;350;;;gravimetric;isotherms;581.5,1222.4,1725.2,2438.2,6273.5,11839.7,22116.5,34317.5,47247.9,59316.9,72447,82261.7,98707.7,990.6,2240.7,4209,5119.4,7022.5,12314.1,20666.2,28886.8,40026.2,53288,67678,82532.5,99177,1914.6,4026.1,5541.8,7317,11339.5,15573.7,23060.5,32539.6,40031.9,52232,64698.4,82469.7,98451.3,3312.5,5895.9,8214.5,10201.9,14506.4,19606.4,25631.3,33909.3,44905.3,57629,70289.9,83350.2,98269.1;323,323,323,323,323,323,323,323,323,323,323,323,323,343,343,343,343,343,343,343,343,343,343,343,343,343,373,373,373,373,373,373,373,373,373,373,373,373,373,423,423,423,423,423,423,423,423,423,423,423,423,423;0.053637786,0.13151568,0.228869004,0.28647813,0.324552542,0.338748352,0.344902678,0.3470444,0.349172174,0.348932138,0.348671179,0.347284436,0.345765179,0.014287058,0.048835911,0.122713406,0.18588229,0.255787282,0.302972586,0.314729099,0.322513692,0.32666346,0.32957934,0.32929339,0.327806099,0.327872937,0.02976732,0.066683401,0.100034982,0.153251397,0.232652035,0.267142187,0.290042629,0.302968517,0.306793394,0.311717321,0.313456852,0.315488146,0.314772689,0.011061398,0.020945286,0.02924424,0.035960588,0.056540298,0.077898817,0.111557853,0.150736545,0.192642227,0.221797544,0.239031286,0.250693646,0.256358602;;;50;;0.1;;;;;;;;Lamia, N., et al., Adsorption of propane, propylene and isobutane on a metal-organic framework: Molecular simulation and experiment. Chemical Engineering Science, 2009. 64(14): p. 3246-3259.
